-180.0 0.000467 0.001088 0.000000 0.000620
-170.0 0.088097 0.084756 0.062915 0.059574
-160.0 0.330075 0.335847 0.216983 0.222755
-150.0 0.662923 0.673319 0.442561 0.452957
-140.0 0.998009 1.008941 0.688832 0.699765
-130.0 1.242258 1.234084 0.921466 0.913292
-120.0 1.325289 1.323774 1.059008 1.057493
-110.0 1.223354 1.214863 1.128126 1.119635
-100.0 0.968363 0.972219 1.109759 1.113615
-90.0 0.638232 0.642393 1.072117 1.076279
-80.0 0.331798 0.330623 1.058539 1.057364
-70.0 0.140009 0.147655 1.097697 1.105342
-60.0 0.121659 0.132455 1.241942 1.252738
-50.0 0.290933 0.286929 1.509148 1.505143
-40.0 0.615109 0.605362 1.847131 1.837383
-30.0 1.020956 1.026860 2.192373 2.198278
-20.0 1.412704 1.411561 2.523891 2.522748
-10.0 1.694840 1.701726 2.740968 2.747853
-0.0 1.797328 1.802114 2.823575 2.828360
10.0 1.694779 1.688935 2.753697 2.747853
20.0 1.412657 1.414650 2.520756 2.522748
30.0 1.020948 1.022271 2.196955 2.198278
40.0 0.615180 0.597052 1.855511 1.837383
50.0 0.290917 0.293778 1.502281 1.505143
60.0 0.121554 0.117809 1.256482 1.252738
70.0 0.139953 0.151721 1.093575 1.105342
80.0 0.331803 0.327114 1.062052 1.057364
90.0 0.638106 0.639410 1.074975 1.076279
100.0 0.968248 0.956629 1.125234 1.113615
110.0 1.223315 1.217577 1.125373 1.119635
120.0 1.325388 1.335389 1.047493 1.057493
130.0 1.242190 1.237901 0.917581 0.913292
140.0 0.998155 1.007764 0.690156 0.699765
150.0 0.663130 0.651346 0.464741 0.452957
160.0 0.329960 0.334217 0.218498 0.222755
170.0 0.088115 0.083868 0.063820 0.059574
180.0 0.000000 -0.007196 0.007816 0.000620
