-180.0 0.000467 0.002007 0.000000 0.001540
-170.0 0.088097 0.084596 0.064181 0.060681
-160.0 0.330075 0.335400 0.219186 0.224511
-150.0 0.662923 0.673318 0.445679 0.456074
-140.0 0.998009 1.009068 0.694273 0.705333
-130.0 1.242258 1.234325 0.930717 0.922785
-120.0 1.325289 1.323810 1.074072 1.072594
-110.0 1.223354 1.215195 1.150073 1.141914
-100.0 0.968363 0.972173 1.140398 1.144208
-90.0 0.638232 0.642444 1.111505 1.115718
-80.0 0.331798 0.330626 1.106814 1.105643
-70.0 0.140009 0.147271 1.154856 1.162118
-60.0 0.121659 0.132488 1.306680 1.317509
-50.0 0.290933 0.286827 1.581399 1.577293
-40.0 0.615109 0.605417 1.925797 1.916104
-30.0 1.020956 1.027206 2.276232 2.282482
-20.0 1.412704 1.411597 2.612168 2.611061
-10.0 1.694840 1.701487 2.832050 2.838697
-0.0 1.797328 1.802071 2.915313 2.920056
10.0 1.694779 1.688620 2.844856 2.838697
20.0 1.412657 1.414836 2.608883 2.611061
30.0 1.020948 1.022488 2.280943 2.282482
40.0 0.615180 0.597121 1.934163 1.916104
50.0 0.290917 0.293859 1.574350 1.577293
60.0 0.121554 0.117669 1.321394 1.317509
70.0 0.139953 0.151768 1.150303 1.162118
80.0 0.331803 0.326924 1.110521 1.105643
90.0 0.638106 0.639539 1.114285 1.115718
100.0 0.968248 0.956601 1.155855 1.144208
110.0 1.223315 1.217817 1.147413 1.141914
120.0 1.325388 1.335118 1.062865 1.072594
130.0 1.242190 1.237859 0.927115 0.922785
140.0 0.998155 1.007497 0.695991 0.705333
150.0 0.663130 0.651075 0.468129 0.456074
160.0 0.329960 0.334200 0.220272 0.224511
170.0 0.088115 0.083839 0.064957 0.060681
180.0 0.000000 -0.007355 0.008895 0.001540
